model,decision,threshold,first_step_q1,first_step_median,first_step_mean,first_step_q3,reached_fraction,not_reached_fraction
10,1,3,1.0,1.0,1.0,1.0,1.0,0.0
10,2,5,1.0,1.0,1.1323529411764706,1.0,0.9714285714285714,0.02857142857142858
10,3,6,1.0,1.0,1.4411764705882353,2.0,0.9714285714285714,0.02857142857142858
10,4,10,2.0,2.0,2.3333333333333335,3.0,0.9,0.09999999999999998
10,5,12,3.0,3.0,2.9047619047619047,3.0,0.9,0.09999999999999998
10,6,14,3.0,3.0,3.55,4.0,0.8571428571428571,0.1428571428571429
10,7,16,4.0,4.0,4.298245614035087,5.0,0.8142857142857143,0.18571428571428572
10,8,17,4.0,4.0,4.745454545454545,6.0,0.7857142857142857,0.2142857142857143
10,9,18,4.0,5.0,5.196078431372549,6.0,0.7285714285714285,0.27142857142857146
10,10,19,,,,,0.0,1.0
11,1,3,1.0,1.0,1.0,1.0,1.0,0.0
11,2,6,1.0,2.0,1.574468085106383,2.0,0.9791666666666666,0.02083333333333337
11,3,8,2.0,2.0,2.108695652173913,2.0,0.9583333333333334,0.04166666666666663
11,4,9,2.0,2.0,2.260869565217391,2.75,0.9583333333333334,0.04166666666666663
11,5,12,3.0,3.0,3.022222222222222,3.0,0.9375,0.0625
11,6,14,3.0,4.0,3.6818181818181817,4.0,0.9166666666666666,0.08333333333333337
11,7,15,3.0,4.0,3.9767441860465116,4.5,0.8958333333333334,0.10416666666666663
11,8,16,4.0,4.0,4.439024390243903,5.0,0.8541666666666666,0.14583333333333337
11,9,18,5.0,5.0,5.526315789473684,6.0,0.7916666666666666,0.20833333333333337
11,10,19,,,,,0.0,1.0
12,1,3,1.0,1.0,1.0,1.0,1.0,0.0
12,2,9,2.0,2.0,2.1506849315068495,2.0,0.9733333333333334,0.026666666666666616
12,3,10,2.0,2.0,2.375,3.0,0.96,0.040000000000000036
12,4,12,3.0,3.0,3.0277777777777777,3.0,0.96,0.040000000000000036
12,5,13,3.0,3.0,3.3380281690140845,4.0,0.9466666666666667,0.053333333333333344
12,6,15,4.0,4.0,4.112676056338028,5.0,0.9466666666666667,0.053333333333333344
12,7,16,4.0,5.0,4.632352941176471,5.0,0.9066666666666666,0.09333333333333338
12,8,17,4.5,5.0,5.313432835820896,6.0,0.8933333333333333,0.10666666666666669
12,9,18,5.0,6.0,5.9375,7.0,0.8533333333333334,0.1466666666666666
12,10,19,,,,,0.0,1.0
13,1,3,1.0,1.0,1.0,1.0,1.0,0.0
13,2,6,1.0,1.0,1.4929577464788732,2.0,0.9861111111111112,0.01388888888888884
13,3,9,2.0,2.0,2.1739130434782608,2.0,0.9583333333333334,0.04166666666666663
13,4,12,3.0,3.0,3.074626865671642,3.0,0.9305555555555556,0.06944444444444442
13,5,13,3.0,3.0,3.375,4.0,0.8888888888888888,0.11111111111111116
13,6,14,3.0,4.0,3.8125,4.0,0.8888888888888888,0.11111111111111116
13,7,16,4.0,5.0,4.766666666666667,5.0,0.8333333333333334,0.16666666666666663
13,8,17,5.0,5.0,5.372881355932203,6.0,0.8194444444444444,0.18055555555555558
13,9,18,5.0,6.0,6.0,7.0,0.7916666666666666,0.20833333333333337
13,10,19,,,,,0.0,1.0
14,1,3,1.0,1.0,1.0,1.0,1.0,0.0
14,2,5,1.0,1.0,1.2083333333333333,1.0,0.972972972972973,0.027027027027026973
14,3,9,2.0,2.0,2.2253521126760565,2.0,0.9594594594594594,0.04054054054054057
14,4,12,3.0,3.0,3.0434782608695654,3.0,0.9324324324324325,0.06756756756756754
14,5,13,3.0,3.0,3.417910447761194,4.0,0.9054054054054054,0.09459459459459463
14,6,14,3.5,4.0,3.8955223880597014,4.0,0.9054054054054054,0.09459459459459463
14,7,16,4.0,5.0,4.938461538461539,6.0,0.8783783783783784,0.1216216216216216
14,8,17,5.0,6.0,5.640625,6.0,0.8648648648648649,0.1351351351351351
14,9,18,6.0,6.0,6.278688524590164,7.0,0.8243243243243243,0.17567567567567566
14,10,19,,,,,0.0,1.0
15,1,3,1.0,1.0,1.0,1.0,1.0,0.0
